"date","close","open","high","low","pervar"
"22.05.2017","0,074500","0,072200","0,085600","0,067000","3,19"
"23.05.2017","0,074450","0,074670","0,077335","0,069092","-0,07"
"24.05.2017","0,076674","0,074600","0,084075","0,073245","2,99"
"25.05.2017","0,074800","0,076747","0,079700","0,072000","-2,44"
"26.05.2017","0,072070","0,074800","0,077070","0,071000","-3,65"
"27.05.2017","0,075810","0,072070","0,077900","0,064200","5,19"
"28.05.2017","0,078561","0,075800","0,080699","0,074850","3,63"
"29.05.2017","0,085800","0,078561","0,086320","0,076797","9,22"
"30.05.2017","0,105591","0,085818","0,112507","0,082500","23,07"
"31.05.2017","0,099505","0,105800","0,108180","0,094405","-5,76"
"01.06.2017","0,091545","0,099695","0,099882","0,088700","-8,00"
"02.06.2017","0,089255","0,091545","0,095500","0,088941","-2,50"
"03.06.2017","0,088000","0,089330","0,091674","0,085492","-1,41"
"04.06.2017","0,097120","0,087948","0,100400","0,087943","10,36"
"05.06.2017","0,091720","0,097120","0,097880","0,091700","-5,56"
"06.06.2017","0,091800","0,091650","0,094437","0,086322","0,09"
"07.06.2017","0,094810","0,091800","0,095173","0,091658","3,28"
"08.06.2017","0,092400","0,094810","0,095670","0,092000","-2,54"
"09.06.2017","0,099100","0,092600","0,099890","0,092399","7,25"
"10.06.2017","0,116479","0,099100","0,121994","0,098810","17,54"
"11.06.2017","0,113810","0,116972","0,122850","0,107500","-2,29"
"12.06.2017","0,150200","0,113800","0,151000","0,113550","31,97"
"13.06.2017","0,143353","0,151000","0,152500","0,131111","-4,56"
"14.06.2017","0,140043","0,143697","0,144000","0,135487","-2,31"
"15.06.2017","0,142500","0,140100","0,142839","0,129593","1,75"
"16.06.2017","0,142757","0,142500","0,144905","0,136900","0,18"
"17.06.2017","0,139740","0,142758","0,142900","0,137205","-2,11"
"18.06.2017","0,140250","0,139890","0,144010","0,139000","0,36"
"19.06.2017","0,138022","0,140200","0,141600","0,138022","-1,59"
"20.06.2017","0,130000","0,138022","0,141120","0,114660","-5,81"
"21.06.2017","0,123500","0,130300","0,133400","0,110600","-5,00"
"22.06.2017","0,120991","0,123503","0,125212","0,116525","-2,03"
"23.06.2017","0,121585","0,120999","0,125100","0,118536","0,49"
"24.06.2017","0,118620","0,121585","0,122378","0,118258","-2,44"
"25.06.2017","0,110876","0,118648","0,120499","0,103600","-6,53"
"26.06.2017","0,105000","0,110840","0,114485","0,092850","-5,30"
"27.06.2017","0,111800","0,105000","0,112000","0,092833","6,48"
"28.06.2017","0,123900","0,111800","0,125000","0,105700","10,82"
"29.06.2017","0,115744","0,123890","0,126315","0,113710","-6,58"
"30.06.2017","0,114000","0,115449","0,120389","0,110500","-1,51"
"01.07.2017","0,108743","0,114067","0,114189","0,105130","-4,61"
"02.07.2017","0,113205","0,108600","0,116709","0,106000","4,10"
"03.07.2017","0,108633","0,113214","0,113614","0,107680","-4,04"
"04.07.2017","0,103221","0,108516","0,109700","0,103000","-4,98"
"05.07.2017","0,101500","0,103300","0,105400","0,098900","-1,67"
"06.07.2017","0,102360","0,101666","0,105600","0,100414","0,85"
"07.07.2017","0,096376","0,102360","0,103149","0,095610","-5,85"
"08.07.2017","0,096315","0,096353","0,098280","0,093155","-0,06"
"09.07.2017","0,094694","0,096300","0,097933","0,094310","-1,68"
"10.07.2017","0,087600","0,094966","0,095487","0,083249","-7,49"
"11.07.2017","0,082612","0,087601","0,090900","0,074432","-5,69"
"12.07.2017","0,094200","0,082612","0,094577","0,080000","14,03"
"13.07.2017","0,087635","0,094181","0,094400","0,083248","-6,97"
"14.07.2017","0,089099","0,087657","0,090000","0,082917","1,67"
"15.07.2017","0,085900","0,088985","0,091097","0,085635","-3,59"
"16.07.2017","0,081270","0,085900","0,086337","0,074289","-5,39"
"17.07.2017","0,085400","0,081300","0,086400","0,080600","5,08"
"18.07.2017","0,098480","0,085400","0,111400","0,082760","15,32"
"19.07.2017","0,086348","0,098500","0,102670","0,083206","-12,32"
"20.07.2017","0,079544","0,086380","0,094800","0,073285","-7,88"
"21.07.2017","0,081342","0,079050","0,086390","0,078192","2,26"
"22.07.2017","0,081750","0,081436","0,083928","0,079200","0,50"
"23.07.2017","0,083120","0,081766","0,083800","0,080751","1,68"
"24.07.2017","0,081850","0,083120","0,083500","0,081479","-1,53"
"25.07.2017","0,079304","0,081835","0,081850","0,075777","-3,11"
"26.07.2017","0,080407","0,079320","0,081200","0,077793","1,39"
"27.07.2017","0,076200","0,080400","0,080490","0,075910","-5,23"
"28.07.2017","0,068620","0,076206","0,076206","0,066200","-9,95"
"29.07.2017","0,076200","0,068620","0,077401","0,066285","11,05"
"30.07.2017","0,070968","0,076260","0,077000","0,070517","-6,87"
"31.07.2017","0,070326","0,070900","0,072849","0,067400","-0,91"
"01.08.2017","0,082890","0,070400","0,084869","0,070400","17,87"
"02.08.2017","0,080610","0,083000","0,084200","0,079349","-2,75"
"03.08.2017","0,080581","0,080700","0,084000","0,080000","-0,04"
"04.08.2017","0,077196","0,080506","0,081850","0,076799","-4,20"
"05.08.2017","0,077900","0,077200","0,078328","0,071110","0,91"
"06.08.2017","0,081961","0,078000","0,083800","0,077400","5,21"
"07.08.2017","0,079428","0,081866","0,083073","0,078700","-3,09"
"08.08.2017","0,086662","0,079500","0,087873","0,078500","9,11"
"09.08.2017","0,088295","0,086600","0,093750","0,085706","1,88"
"10.08.2017","0,086937","0,088100","0,090517","0,086813","-1,54"
"11.08.2017","0,084806","0,086900","0,088353","0,083000","-2,45"
"12.08.2017","0,079524","0,084806","0,087272","0,079452","-6,23"
"13.08.2017","0,073164","0,079477","0,079680","0,064000","-8,00"
"14.08.2017","0,069058","0,073164","0,076184","0,068438","-5,61"
"15.08.2017","0,068891","0,069092","0,071817","0,065652","-0,24"
"16.08.2017","0,068603","0,068829","0,073390","0,068530","-0,42"
"17.08.2017","0,070100","0,068753","0,071150","0,068500","2,18"
"18.08.2017","0,071321","0,070100","0,072900","0,069240","1,74"
"19.08.2017","0,070667","0,071409","0,072988","0,070250","-0,92"
"20.08.2017","0,073634","0,070587","0,073696","0,070400","4,20"
"21.08.2017","0,080500","0,073600","0,086600","0,072370","9,32"
"22.08.2017","0,076630","0,080500","0,085600","0,075368","-4,81"
"23.08.2017","0,076596","0,076602","0,079350","0,075000","-0,04"
"24.08.2017","0,075400","0,076482","0,079047","0,074194","-1,56"
"25.08.2017","0,075523","0,075400","0,077642","0,074370","0,16"
"26.08.2017","0,076631","0,075523","0,078333","0,075310","1,47"
"27.08.2017","0,080354","0,076663","0,080360","0,076439","4,86"
"28.08.2017","0,079305","0,080400","0,081500","0,078298","-1,31"
"29.08.2017","0,081130","0,079203","0,084459","0,079000","2,30"
"30.08.2017","0,083674","0,081200","0,084800","0,080300","3,14"
"31.08.2017","0,081948","0,083800","0,083800","0,081450","-2,06"
"01.09.2017","0,079672","0,081948","0,083205","0,079308","-2,78"
"02.09.2017","0,076415","0,079550","0,079780","0,073212","-4,09"
"03.09.2017","0,076350","0,076400","0,078500","0,075000","-0,09"
"04.09.2017","0,070362","0,076300","0,076400","0,066819","-7,84"
"05.09.2017","0,072147","0,070536","0,072300","0,068199","2,54"
"06.09.2017","0,073438","0,072147","0,074211","0,071995","1,79"
"07.09.2017","0,072571","0,073437","0,073747","0,071261","-1,18"
"08.09.2017","0,070767","0,072571","0,072637","0,069000","-2,49"
"09.09.2017","0,070220","0,070703","0,070960","0,069410","-0,77"
"10.09.2017","0,070469","0,070214","0,071001","0,068700","0,35"
"11.09.2017","0,070673","0,070400","0,071000","0,069800","0,29"
"12.09.2017","0,070700","0,070700","0,072427","0,070034","0,04"
"13.09.2017","0,071450","0,070698","0,071500","0,067665","1,06"
"14.09.2017","0,068881","0,071324","0,071696","0,067200","-3,59"
"15.09.2017","0,069875","0,069002","0,071300","0,067177","1,44"
"16.09.2017","0,068883","0,069747","0,070100","0,068123","-1,42"
"17.09.2017","0,069996","0,068700","0,070324","0,068201","1,62"
"18.09.2017","0,072658","0,069996","0,075656","0,069811","3,80"
"19.09.2017","0,072384","0,072600","0,073200","0,071600","-0,38"
"20.09.2017","0,073176","0,072600","0,073309","0,072087","1,09"
"21.09.2017","0,071250","0,073309","0,073724","0,070504","-2,63"
"22.09.2017","0,072876","0,071250","0,072942","0,071180","2,28"
"23.09.2017","0,075662","0,072876","0,075662","0,072000","3,82"
"24.09.2017","0,077100","0,075628","0,078152","0,075628","1,90"
"25.09.2017","0,075311","0,077004","0,077300","0,074840","-2,32"
"26.09.2017","0,074450","0,075311","0,075384","0,073572","-1,14"
"27.09.2017","0,073560","0,074259","0,074555","0,072321","-1,20"
"28.09.2017","0,072265","0,073609","0,073866","0,071879","-1,76"
"29.09.2017","0,070212","0,072265","0,072478","0,069354","-2,84"
"30.09.2017","0,069563","0,070337","0,070754","0,069422","-0,92"
"01.10.2017","0,068979","0,069563","0,070064","0,068979","-0,84"
"02.10.2017","0,067500","0,069067","0,069067","0,067001","-2,14"
"03.10.2017","0,067727","0,067688","0,068700","0,067100","0,34"
"04.10.2017","0,069210","0,067727","0,070005","0,067601","2,19"
"05.10.2017","0,068264","0,069210","0,069779","0,067654","-1,37"
"06.10.2017","0,070713","0,068332","0,070938","0,067850","3,59"
"07.10.2017","0,070275","0,070705","0,072000","0,070038","-0,62"
"08.10.2017","0,067154","0,070275","0,070480","0,067001","-4,44"
"09.10.2017","0,062253","0,067105","0,067580","0,058509","-7,30"
"10.10.2017","0,062696","0,062197","0,063537","0,060065","0,71"
"11.10.2017","0,062782","0,063000","0,063677","0,061611","0,14"
"12.10.2017","0,055693","0,062900","0,063557","0,055523","-11,29"
"13.10.2017","0,059875","0,055779","0,062067","0,050766","7,51"
