date,close,open,high,low,var
30.12.2017,"682,39","731,52","736,91","640,98","-6,87"
29.12.2017,"732,75","712,00","754,89","703,02","3,00"
28.12.2017,"711,42","736,45","740,30","654,70","-3,49"
27.12.2017,"737,13","749,80","766,06","703,40","-1,65"
26.12.2017,"749,51","710,19","749,80","708,91","5,54"
25.12.2017,"710,20","659,88","737,00","655,14","7,62"
24.12.2017,"659,89","672,82","674,55","563,21","-1,87"
23.12.2017,"672,49","628,19","717,00","616,81","6,97"
22.12.2017,"628,65","786,99","791,98","494,00","-20,12"
21.12.2017,"787,00","795,91","842,05","748,82","-1,00"
20.12.2017,"794,95","799,98","826,01","709,49","-0,63"
19.12.2017,"800,00","784,44","863,00","760,24","1,91"
18.12.2017,"785,00","708,78","798,90","668,21","10,78"
17.12.2017,"708,58","683,62","725,00","683,62","3,54"
16.12.2017,"684,35","677,74","711,83","672,61","0,99"
15.12.2017,"677,65","687,56","698,31","610,00","-1,29"
14.12.2017,"686,51","688,85","756,21","651,00","-0,74"
13.12.2017,"691,65","631,00","741,91","576,00","9,09"
12.12.2017,"634,00","515,04","646,99","499,44","23,29"
11.12.2017,"514,24","429,24","532,86","429,24","19,96"
10.12.2017,"428,66","460,93","460,93","413,50","-7,00"
09.12.2017,"460,93","442,20","486,80","441,00","4,35"
08.12.2017,"441,72","415,00","453,52","400,46","6,44"
07.12.2017,"415,00","413,68","429,00","390,00","0,17"
06.12.2017,"414,29","449,60","454,00","403,00","-8,31"
05.12.2017,"451,82","465,30","467,37","446,99","-2,83"
04.12.2017,"465,00","459,49","470,95","439,83","1,01"
03.12.2017,"460,35","455,51","482,51","433,53","1,06"
02.12.2017,"455,52","460,83","471,33","446,33","-1,09"
01.12.2017,"460,52","432,24","467,00","414,66","6,56"
30.11.2017,"432,15","420,34","454,77","385,50","2,36"
29.11.2017,"422,20","464,89","517,00","401,04","-9,31"
28.11.2017,"465,56","473,39","478,07","457,47","-1,69"
27.11.2017,"473,58","469,53","491,89","458,03","0,87"
26.11.2017,"469,50","452,66","473,31","446,60","1,14"
25.11.2017,"464,21","469,57","483,00","455,91","-1,12"
24.11.2017,"469,47","405,18","478,50","397,85","15,84"
23.11.2017,"405,27","380,48","425,86","374,60","6,52"
22.11.2017,"380,48","359,83","381,13","358,90","5,74"
21.11.2017,"359,83","367,94","373,43","350,97","-2,20"
20.11.2017,"367,94","354,71","373,69","354,05","3,76"
19.11.2017,"354,62","346,88","371,00","343,65","2,23"
18.11.2017,"346,90","331,01","350,16","325,60","4,67"
17.11.2017,"331,42","330,88","335,02","325,00","0,19"
16.11.2017,"330,78","330,89","335,09","321,22","-0,04"
15.11.2017,"330,90","334,32","339,50","324,46","-0,83"
14.11.2017,"333,67","313,22","336,34","313,22","6,50"
13.11.2017,"313,30","303,20","318,00","302,67","3,17"
12.11.2017,"303,68","313,00","316,71","293,72","-3,06"
11.11.2017,"313,26","296,18","319,88","294,74","5,79"
10.11.2017,"296,12","319,52","324,03","288,00","-7,32"
09.11.2017,"319,52","307,61","328,78","305,90","3,92"
08.11.2017,"307,48","291,78","318,88","290,12","5,50"
07.11.2017,"291,46","296,84","304,20","286,80","-1,83"
06.11.2017,"296,88","295,20","306,02","292,01","0,33"
05.11.2017,"295,90","299,33","300,00","293,68","-1,18"
04.11.2017,"299,42","302,70","303,24","293,17","0,34"
03.11.2017,"298,40","285,25","307,19","284,26","4,85"
02.11.2017,"284,61","288,63","293,00","275,77","-1,69"
01.11.2017,"289,50","303,51","304,69","287,62","-4,84"
31.10.2017,"304,24","307,00","312,00","303,21","-0,90"
30.10.2017,"307,00","304,39","311,08","303,93","0,86"
29.10.2017,"304,37","293,61","311,84","292,01","3,66"
28.10.2017,"293,61","295,99","296,97","289,56","-0,80"
27.10.2017,"295,99","295,05","299,20","292,10","0,30"
26.10.2017,"295,10","295,25","299,00","292,58","0,06"
25.10.2017,"294,91","296,30","300,00","289,10","-0,44"
24.10.2017,"296,20","284,86","311,20","280,02","4,02"
23.10.2017,"284,75","293,51","293,58","274,07","-3,04"
22.10.2017,"293,67","299,23","305,37","289,40","-1,78"
21.10.2017,"299,00","302,15","303,00","290,43","-1,19"
20.10.2017,"302,61","306,96","313,00","301,71","-1,42"
19.10.2017,"306,97","313,92","316,50","304,40","-2,06"
18.10.2017,"313,43","315,63","316,00","288,01","-0,70"
17.10.2017,"315,64","334,37","334,71","310,22","-5,60"
16.10.2017,"334,37","337,04","353,01","331,08","-0,70"
15.10.2017,"336,74","339,10","343,00","317,36","-0,74"
14.10.2017,"339,24","337,46","347,88","334,14","0,53"
13.10.2017,"337,46","303,10","349,88","298,10","11,34"
12.10.2017,"303,10","303,20","310,01","302,18","-0,10"
11.10.2017,"303,39","299,32","304,91","296,60","1,36"
10.10.2017,"299,32","297,38","307,00","292,72","0,71"
09.10.2017,"297,21","309,74","311,11","287,07","-4,04"
08.10.2017,"309,72","311,46","314,31","308,30","-0,56"
07.10.2017,"311,46","308,44","315,00","304,50","0,93"
06.10.2017,"308,59","295,09","309,44","293,61","4,50"
05.10.2017,"295,30","291,40","297,75","286,51","1,30"
04.10.2017,"291,52","291,69","295,81","287,96","-0,04"
03.10.2017,"291,64","296,98","300,50","286,29","-1,75"
